Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
0		0.019392	0.031533	0.020877	0.002434	0.011700	0.019167	-0.022951	-0.001870	1.025641
1		0.002840	-0.030113	0.001223	-0.015502	-0.007099	-0.025213	-0.022957	-0.024086	1.025641
2		-0.029571	-0.011196	-0.028991	0.022277	-0.003481	0.001521	0.076177	0.038810	0.923077
3		0.004382	0.008656	0.003992	-0.006981	-0.001468	0.004677	-0.022652	-0.008973	1.025641
0		-0.032710	-0.030444	-0.029939	0.058900	0.014493	-0.024593	0.069489	0.022348	0.923077
1		0.018152	0.060786	0.019029	-0.004057	0.007483	0.058838	-0.020847	0.019080	1.025641
2		-0.011294	-0.027168	-0.010361	-0.025536	-0.017950	-0.039108	-0.022155	-0.030650	1.025641
3		0.022581	-0.006219	0.018277	-0.023418	-0.002576	0.002404	-0.019538	-0.008544	1.025641
0		-0.030586	0.030055	-0.029953	-0.065090	-0.047349	0.014179	-0.139765	-0.061184	1.212121
1		0.001376	-0.023496	0.002056	-0.158603	-0.077483	-0.052225	-0.132609	-0.091577	1.212121
2		0.024102	-0.014421	0.020730	0.049066	0.034759	0.007350	0.070321	0.038177	0.969697
3		0.019857	0.009955	0.022626	0.368881	0.194050	0.064331	0.432236	0.244438	0.606061
0		0.041589	0.049684	0.042701	-0.009405	0.016710	0.038167	-0.023012	0.007609	1.025641
1		0.012339	-0.006216	0.012095	-0.020338	-0.004083	-0.010419	-0.022384	-0.016395	1.025641
2		0.027251	-0.002519	0.024209	0.083268	0.053668	0.014634	0.077357	0.045964	0.923077
3		-0.078454	-0.041201	-0.076584	-0.045198	-0.060929	-0.040919	-0.024225	-0.032581	1.025641
0		0.033961	0.005207	0.030470	-0.022145	0.004201	0.008614	-0.024275	-0.007825	1.025641
1		-0.043212	-0.029792	-0.040000	-0.024334	-0.032178	-0.040855	-0.025013	-0.032937	1.025641
2		0.033045	0.020922	0.031905	0.074286	0.053064	0.043494	0.081440	0.062460	0.923077
3		-0.020490	0.005755	-0.019184	-0.020378	-0.019780	-0.006903	-0.024009	-0.015453	1.025641
0		-0.013637	0.029673	-0.011508	0.009210	-0.001347	0.023857	0.005037	0.014705	1.058824
1		-0.077961	-0.056809	-0.071547	0.371631	0.145804	-0.028417	0.393121	0.176568	0.588235
2		0.044812	0.002873	0.039151	-0.116850	-0.037358	-0.000148	-0.102027	-0.049689	1.176471
3		0.006442	-0.001174	0.006980	-0.077255	-0.034332	-0.007115	-0.099067	-0.051829	1.176471
0		-0.036023	0.009041	-0.037022	-0.019836	-0.028460	0.015409	0.002574	0.008998	1.000000
1		-0.018535	-0.002903	-0.014798	-0.073747	-0.044165	-0.037122	-0.089159	-0.063115	1.100000
2		0.013029	-0.020626	0.012321	0.007277	0.009808	-0.008611	0.001441	-0.003590	1.000000
3		0.048202	0.016420	0.045531	0.104090	0.074704	0.037817	0.104510	0.071132	0.900000
0		0.047708	0.019657	0.044360	0.007068	0.025780	0.027542	0.000271	0.013909	1.000000
1		-0.032309	-0.002961	-0.031108	-0.009975	-0.020579	-0.004833	0.000104	-0.002365	1.000000
2		0.011023	0.009250	0.013711	0.007283	0.010508	-0.011409	-0.000197	-0.005804	1.000000
3		-0.026423	-0.025946	-0.026963	-0.004375	-0.015709	-0.011301	-0.000179	-0.005740	1.000000
0		-0.020605	-0.009786	-0.019550	-0.044285	-0.031925	-0.015925	-0.042784	-0.029340	1.047619
1		0.018922	0.002195	0.017597	0.048730	0.033173	0.005759	0.047973	0.026843	0.952381
2		-0.009045	-0.022147	-0.010252	0.039624	0.014701	-0.002672	0.046856	0.022066	0.952381
3		0.011625	0.027924	0.012873	-0.036037	-0.011597	0.013119	-0.043425	-0.015123	1.047619
0		0.006285	0.007444	0.006227	0.155706	0.080666	0.033256	0.206335	0.119357	0.800000
1		0.025458	0.039832	0.027492	-0.013465	0.007096	0.016649	-0.015138	0.000836	1.028571
2		-0.038359	-0.036617	-0.038717	-0.078938	-0.058747	-0.029909	-0.116083	-0.072777	1.142857
3		0.012276	-0.004935	0.010684	-0.019931	-0.004562	-0.009283	-0.016364	-0.012806	1.028571
0		-0.027029	0.039334	-0.025844	-0.067792	-0.046961	0.016404	-0.118318	-0.050701	1.142857
1		0.051060	0.015765	0.050583	0.035784	0.043133	0.012927	0.051805	0.032292	0.952381
2		-0.037409	-0.050940	-0.037590	0.012232	-0.012509	-0.035529	0.040240	0.002212	0.952381
3		0.018783	-0.012026	0.018019	0.033335	0.025729	0.002917	0.049936	0.026337	0.952381
0		-0.039331	-0.014463	-0.036945	-0.041069	-0.039004	-0.030805	-0.043672	-0.037233	1.047619
1		0.073155	0.036241	0.069071	0.055972	0.062531	0.067723	0.052045	0.059890	0.952381
2		-0.030627	-0.032170	-0.031103	0.036115	0.002456	-0.022384	0.044290	0.010926	0.952381
3		0.000670	0.010762	0.002429	-0.042646	-0.020075	-0.010412	-0.043905	-0.027145	1.047619
0		-0.078616	-0.050596	-0.077590	-0.011081	-0.044655	-0.033109	0.061575	0.013475	0.947368
1		0.046145	0.015344	0.043975	0.287984	0.164809	0.053159	0.269720	0.159707	0.736842
2		0.051782	0.008498	0.048943	0.076019	0.062351	0.028917	0.083212	0.055630	0.947368
3		-0.006270	0.020882	-0.003847	-0.200025	-0.100994	-0.025722	-0.245471	-0.133839	1.368421
0		0.033457	0.034635	0.034603	-0.037072	-0.000992	0.011944	-0.044090	-0.015986	1.052632
1		-0.025761	-0.033039	-0.026045	-0.033308	-0.029652	-0.030006	-0.043259	-0.036612	1.052632
2		-0.011720	0.002818	-0.011973	0.116328	0.051744	0.023895	0.163818	0.093639	0.842105
3		0.001681	-0.003851	0.001020	-0.022682	-0.010751	-0.001054	-0.043705	-0.022313	1.052632
0		-0.042600	-0.048189	-0.042462	-0.048378	-0.045417	-0.050039	-0.042346	-0.046208	1.052632
1		0.065307	0.069277	0.065715	-0.048410	0.008701	0.054342	-0.042342	0.006194	1.052632
2		-0.019233	-0.006896	-0.018757	-0.041945	-0.030341	-0.013293	-0.039946	-0.026566	1.052632
3		-0.004342	-0.017740	-0.005621	0.173416	0.083823	0.011238	0.155793	0.083226	0.842105
0		0.010956	0.014927	0.011739	0.008721	0.010233	0.031211	0.000463	0.015840	1.000000
1		-0.005207	0.009008	-0.004065	0.002570	-0.000755	-0.002572	0.000371	-0.001101	1.000000
2		-0.030126	-0.004496	-0.030905	-0.015585	-0.023261	0.000010	0.000463	0.000236	1.000000
3		0.024377	-0.019438	0.023230	0.004294	0.013783	-0.028649	-0.001296	-0.014976	1.000000
0		0.010247	-0.000738	0.012288	-0.008483	0.001990	-0.019006	-0.023547	-0.021275	1.025641
1		-0.033304	-0.014450	-0.032676	-0.011521	-0.022187	-0.004176	-0.023384	-0.013773	1.025641
2		0.056730	0.020398	0.054017	-0.007411	0.023561	0.011165	-0.023695	-0.006253	1.025641
3		-0.037414	-0.005790	-0.037366	0.030462	-0.003737	0.013353	0.078473	0.045891	0.923077
0		-0.002194	-0.021268	-0.002772	-0.052748	-0.027899	-0.025575	-0.041664	-0.033589	1.052632
1		-0.029535	-0.001204	-0.028081	-0.052770	-0.040494	0.000514	-0.042065	-0.020695	1.052632
2		0.046233	-0.003497	0.044523	0.174287	0.109768	0.006626	0.158152	0.082103	0.842105
3		-0.005257	0.025270	-0.004766	-0.033912	-0.019420	0.019760	-0.042792	-0.011398	1.052632
0		-0.036181	-0.016872	-0.034226	-0.026690	-0.030430	-0.030993	0.002427	-0.014338	1.000000
1		-0.010619	0.013376	-0.009267	-0.048872	-0.029218	0.019872	-0.084827	-0.032303	1.100000
2		0.034557	0.044412	0.036416	-0.004639	0.015735	0.024652	0.008876	0.016790	1.000000
3		0.014783	-0.046948	0.008893	0.094542	0.052039	-0.017243	0.091119	0.036757	0.900000
0		0.035327	-0.003364	0.033120	0.006010	0.019606	-0.009083	-0.000046	-0.004565	1.000000
1		0.009903	0.021705	0.010942	0.009703	0.010324	0.030988	0.000324	0.015659	1.000000
2		-0.050804	-0.012179	-0.050076	-0.022949	-0.036553	-0.010659	-0.000117	-0.005389	1.000000
3		0.005574	-0.006162	0.006014	0.007236	0.006623	-0.011246	-0.000162	-0.005705	1.000000
0		-0.016787	-0.040214	-0.019156	-0.098807	-0.058183	-0.042449	-0.109306	-0.075191	1.176471
1		0.029865	0.027219	0.031631	0.436335	0.229924	0.073605	0.464709	0.265142	0.588235
2		0.036082	0.023489	0.036392	-0.115197	-0.037882	0.001107	-0.114367	-0.055445	1.176471
3		-0.038030	0.003462	-0.036724	-0.004626	-0.020997	0.005044	-0.009646	-0.002150	1.058824
0		-0.033123	0.040744	-0.032145	-0.056607	-0.044465	0.028380	-0.083891	-0.027540	1.100000
1		-0.011062	-0.053682	-0.010740	0.095172	0.042599	-0.038941	0.084919	0.022751	0.900000
2		0.029503	0.001939	0.028250	-0.012102	0.007928	-0.001241	0.007575	0.003150	1.000000
3		0.016887	0.001556	0.016776	-0.011285	0.002644	0.005069	0.008278	0.006667	1.000000
0		-0.065593	-0.042190	-0.065057	-0.152323	-0.108868	-0.060418	-0.184877	-0.122362	1.238095
1		0.018161	0.018252	0.019719	0.130687	0.075429	0.025492	0.142818	0.083887	0.857143
2		0.028981	-0.000438	0.027354	0.041468	0.034439	0.008184	0.052499	0.030240	0.952381
3		0.039946	0.038859	0.039473	0.038934	0.039203	0.047415	0.059304	0.053333	0.952381
0		-0.041347	-0.015458	-0.040870	-0.058046	-0.049466	-0.019718	-0.066625	-0.043095	1.081081
1		0.068403	0.044019	0.067645	0.154193	0.110958	0.059429	0.147117	0.103130	0.864865
2		0.047710	0.026606	0.045715	-0.070202	-0.012295	0.024234	-0.068932	-0.022197	1.081081
3		-0.067873	-0.051515	-0.065513	0.005438	-0.030006	-0.057843	0.019847	-0.019125	0.972973
0		0.039009	-0.005547	0.037565	0.002567	0.020088	-0.017449	0.000785	-0.008342	1.000000
1		0.010090	0.002476	0.010079	0.005892	0.007988	0.004788	0.002602	0.003697	1.000000
2		-0.060431	-0.018588	-0.059658	-0.066267	-0.062958	-0.022593	-0.088826	-0.055672	1.100000
3		0.019306	0.026131	0.019978	0.071593	0.045753	0.041682	0.104801	0.073205	0.900000
0		0.072255	0.050187	0.072229	-0.045725	0.013954	0.030584	-0.059688	-0.014347	1.073171
1		0.013979	0.029036	0.015533	-0.026705	-0.005335	0.004888	-0.057358	-0.026094	1.073171
2		-0.051270	-0.038598	-0.051885	0.000759	-0.025876	-0.016700	0.028768	0.005931	0.975610
3		-0.048430	-0.053940	-0.049615	0.087682	0.018216	-0.024800	0.111092	0.042838	0.878049
0		0.009844	0.011277	0.010113	0.022453	0.016289	0.008846	0.032930	0.020826	0.975610
1		0.029566	0.042527	0.030759	0.110727	0.070782	0.048131	0.130360	0.089033	0.878049
2		0.026986	0.030385	0.026848	-0.120911	-0.047104	0.013097	-0.136953	-0.061540	1.170732
3		-0.068836	-0.086013	-0.070013	0.022986	-0.023468	-0.067880	0.014089	-0.027107	0.975610
0		0.002635	0.011990	0.004900	0.038792	0.021374	0.004601	0.005709	0.005148	1.025641
1		0.053402	0.015845	0.049705	-0.140932	-0.042958	-0.011843	-0.165713	-0.087760	1.230769
2		-0.022474	-0.011326	-0.021959	0.032594	0.004558	0.008070	0.006124	0.007110	1.025641
3		-0.063206	-0.028109	-0.060839	0.139618	0.036598	0.002201	0.267176	0.132935	0.717949
0		-0.034004	-0.027230	-0.033571	-0.025188	-0.029419	-0.029316	-0.047856	-0.038579	1.052632
1		-0.047782	-0.020994	-0.047949	-0.005072	-0.026711	0.005094	0.052256	0.028656	0.947368
2		0.051747	0.027607	0.051581	-0.032086	0.010138	0.003258	-0.048464	-0.022582	1.052632
3		0.028067	0.020575	0.027938	0.068709	0.048133	0.023860	0.054766	0.039300	0.947368
0		-0.014724	0.016086	-0.014577	0.021358	0.003368	0.031518	0.075467	0.053410	0.930233
1		-0.003031	-0.008299	-0.003231	0.045729	0.021218	0.005233	0.069579	0.037286	0.930233
2		-0.033742	-0.022434	-0.033425	-0.111394	-0.072360	-0.039992	-0.166893	-0.103206	1.209302
3		0.061620	0.021377	0.061261	0.077725	0.069483	0.015240	0.071915	0.043472	0.930233
0		0.004666	0.035790	0.005323	0.005120	0.005221	0.035824	0.000486	0.018160	1.000000
1		0.010173	-0.003102	0.008683	0.004412	0.006550	0.001166	0.000527	0.000847	1.000000
2		-0.034990	-0.026347	-0.034876	-0.011961	-0.023432	-0.018561	-0.000528	-0.009547	1.000000
3		0.020152	-0.006341	0.020870	0.002429	0.011661	-0.018429	-0.000486	-0.009460	1.000000
0		0.017441	0.042937	0.016765	-0.011840	0.002433	0.044887	-0.021804	0.011596	1.025641
1		-0.015030	-0.028092	-0.014822	0.075286	0.030324	-0.018236	0.071391	0.026504	0.923077
2		-0.013840	-0.026160	-0.014481	-0.026941	-0.020724	-0.017420	-0.021374	-0.019394	1.025641
3		0.009926	0.008506	0.011056	-0.028976	-0.009001	-0.011054	-0.021074	-0.016056	1.025641
0		0.035964	-0.006690	0.031048	-0.021144	0.004973	0.000471	-0.017029	-0.008261	1.023256
1		-0.017427	-0.008375	-0.016482	0.047836	0.015651	0.002307	0.068631	0.035400	0.930233
2		0.004462	-0.004988	0.005307	0.064910	0.035084	0.013392	0.070655	0.041965	0.930233
3		-0.022163	0.017268	-0.019148	-0.074573	-0.046838	-0.013514	-0.100462	-0.056899	1.116279
0		0.020103	0.000116	0.018552	0.101460	0.059978	0.009092	0.090853	0.049780	0.909091
1		-0.012852	0.011051	-0.009626	0.080871	0.035593	0.007125	0.090055	0.048395	0.909091
2		0.015261	0.003915	0.013561	-0.135856	-0.061098	-0.004059	-0.145833	-0.074612	1.181818
3		-0.024627	-0.014779	-0.024140	-0.005199	-0.014676	-0.009946	0.007886	-0.001072	1.000000
0		0.011810	0.013352	0.011736	0.003241	0.007494	0.010048	0.000719	0.005385	1.000000
1		-0.053015	-0.038099	-0.051461	-0.008631	-0.030075	-0.036051	-0.001796	-0.018928	1.000000
2		0.008088	-0.006973	0.005884	0.002696	0.004292	-0.001453	0.000520	-0.000467	1.000000
3		0.033117	0.031720	0.033841	0.002694	0.018289	0.027456	0.000556	0.014010	1.000000
0		-0.036531	0.006790	-0.035173	-0.019118	-0.027151	0.006863	0.007290	0.007076	1.000000
1		-0.016711	-0.025240	-0.014049	0.112435	0.049155	-0.032433	0.087764	0.027467	0.900000
2		-0.001407	-0.002356	-0.000886	0.001022	0.000067	0.005072	0.007109	0.006087	1.000000
3		0.048162	0.016619	0.044276	-0.075541	-0.015597	0.015687	-0.084897	-0.034439	1.100000
0		-0.012159	-0.008099	-0.012292	0.007512	-0.002456	-0.005324	0.005923	0.000281	1.000000
1		-0.001595	0.015237	-0.001487	-0.046491	-0.023840	0.015405	-0.085035	-0.034653	1.100000
2		0.053656	0.027218	0.053445	0.013348	0.033530	0.010168	0.007381	0.008779	1.000000
3		-0.044159	-0.039867	-0.043909	0.033644	-0.005389	-0.024210	0.089149	0.032287	0.900000
0		0.037858	-0.019298	0.034079	0.145214	0.090162	0.015176	0.140297	0.077229	0.857143
1		-0.044150	-0.014169	-0.042798	-0.021928	-0.032266	-0.020708	0.049353	0.014039	0.952381
2		-0.002650	0.017352	-0.001660	-0.102732	-0.052665	0.001253	-0.179107	-0.088196	1.238095
3		0.013522	0.008980	0.014285	0.024787	0.019585	0.005420	0.057219	0.031110	0.952381
0		0.010077	0.034273	0.011071	-0.000812	0.005150	0.037812	-0.016588	0.010706	1.025641
1		0.002584	-0.020409	0.002053	-0.107639	-0.052608	-0.036294	-0.107479	-0.071763	1.128205
2		-0.025267	-0.075154	-0.027767	0.086824	0.029336	-0.060946	0.060956	-0.000206	0.923077
3		0.010913	0.062017	0.012956	0.045637	0.029242	0.063292	0.088839	0.076021	0.923077
0		-0.021140	-0.050892	-0.022175	-0.030417	-0.026312	-0.049105	-0.023077	-0.036100	1.023256
1		0.012451	0.021833	0.012536	-0.022229	-0.004915	0.010286	-0.021035	-0.005363	1.023256
2		-0.008804	0.007470	-0.007967	0.058817	0.025557	0.021270	0.071959	0.046596	0.930233
3		0.016692	0.022268	0.016881	-0.000824	0.007994	0.019482	-0.021306	-0.000897	1.023256
0		0.001102	0.030226	0.002025	0.106021	0.053373	0.040859	0.187376	0.113815	0.820513
1		-0.029895	-0.049049	-0.029996	-0.002113	-0.016229	-0.041032	-0.018785	-0.029955	1.025641
2		0.030294	-0.007174	0.028968	-0.091186	-0.030358	-0.020413	-0.106278	-0.063168	1.128205
3		-0.004310	0.032760	-0.003490	0.017601	0.006924	0.030799	-0.014210	0.008388	1.025641
0		0.019005	0.005323	0.022063	0.008139	0.015129	-0.009461	-0.000156	-0.004809	1.000000
1		-0.059019	-0.000621	-0.058231	-0.027556	-0.042956	0.000641	0.000088	0.000365	1.000000
2		0.028192	-0.007551	0.024105	0.008872	0.016520	-0.005419	-0.000014	-0.002717	1.000000
3		0.011822	0.002849	0.012062	0.010545	0.011307	0.014238	0.000082	0.007160	1.000000
0		0.008758	0.014951	0.008178	-0.022917	-0.007374	0.010302	-0.046952	-0.018279	1.052632
1		0.001314	0.001975	0.003014	0.054931	0.028980	-0.009167	0.051763	0.021249	0.947368
2		-0.003634	0.000137	-0.003979	-0.040623	-0.022306	0.001429	-0.046515	-0.022505	1.052632
3		-0.007008	-0.018740	-0.007680	0.015668	0.003997	-0.003868	0.052089	0.024066	0.947368
0		-0.011109	0.000594	-0.012122	-0.003099	-0.007612	0.014239	0.000226	0.007233	1.000000
1		0.015437	0.004549	0.014323	0.001922	0.008125	0.013517	0.000240	0.006879	1.000000
2		-0.010381	-0.001006	-0.007778	0.000343	-0.003719	-0.017440	-0.000397	-0.008919	1.000000
3		0.006052	-0.004137	0.005576	0.000833	0.003206	-0.010316	-0.000069	-0.005193	1.000000
0		-0.049681	-0.072916	-0.051428	-0.066729	-0.059145	-0.062417	-0.042600	-0.052553	1.052632
1		0.011174	0.031476	0.011330	-0.034604	-0.011837	0.033680	-0.041416	-0.003699	1.052632
2		0.035918	-0.008719	0.035674	0.167012	0.101914	0.000822	0.155866	0.077996	0.842105
3		0.009772	0.048415	0.011559	-0.032276	-0.010549	0.028079	-0.040676	-0.006144	1.052632
0		-0.014449	0.006300	-0.014080	0.025523	0.005620	0.027936	0.049996	0.038957	0.952381
1		0.048609	0.029598	0.048241	-0.035656	0.006507	0.011314	-0.043969	-0.016306	1.047619
2		-0.043329	-0.030575	-0.042913	-0.034364	-0.038661	-0.034089	-0.043469	-0.038775	1.047619
3		0.008642	-0.005226	0.008220	0.051499	0.029749	-0.002884	0.046187	0.021632	0.952381
0		0.053309	0.029998	0.049416	-0.192568	-0.069927	-0.005911	-0.194512	-0.099040	1.272727
1		-0.003845	-0.002215	0.001716	0.208137	0.103519	-0.000521	0.171679	0.084509	0.818182
2		-0.074361	-0.079817	-0.074646	0.049523	-0.013408	-0.043591	0.081621	0.018237	0.909091
3		0.002899	0.036194	0.003564	0.029772	0.016489	0.047578	0.032896	0.040328	1.000000
0		0.023904	0.006945	0.023440	0.034495	0.028942	0.000507	0.024098	0.012299	0.975610
1		-0.003494	0.008754	-0.002849	0.019421	0.008234	0.014233	0.024993	0.019612	0.975610
2		-0.012747	0.024787	-0.011655	0.011458	-0.000152	0.021859	0.025390	0.023624	0.975610
3		-0.006967	-0.036806	-0.008124	-0.059432	-0.033658	-0.033272	-0.067710	-0.050487	1.073171
0		-0.000004	-0.022016	-0.002048	-0.144059	-0.072103	-0.051953	-0.159496	-0.105494	1.200000
1		0.028876	0.027898	0.027825	0.170873	0.098391	0.073346	0.217214	0.144972	0.800000
2		-0.043089	-0.002657	-0.040943	0.005120	-0.018220	0.000545	0.008669	0.004590	1.000000
3		0.019992	0.006759	0.021142	0.031052	0.026031	0.003121	0.008956	0.006026	1.000000
0		-0.014624	-0.017576	-0.015044	-0.073426	-0.043912	-0.023591	-0.123025	-0.072927	1.157895
1		0.015160	0.030798	0.017120	0.196825	0.105980	0.064465	0.286004	0.174386	0.736842
2		-0.050780	-0.019592	-0.048808	-0.028222	-0.038628	-0.023981	-0.032768	-0.028340	1.052632
3		0.056255	0.017367	0.053372	-0.028788	0.012746	0.004805	-0.032108	-0.013510	1.052632
0		0.050977	0.032416	0.050453	0.009697	0.030173	0.027642	0.004835	0.016263	1.000000
1		-0.037300	-0.037949	-0.037820	0.050596	0.006175	-0.014874	0.095517	0.040205	0.900000
2		-0.056588	-0.037224	-0.055712	-0.067448	-0.061552	-0.043204	-0.087049	-0.065080	1.100000
3		0.044840	0.042684	0.044869	0.018960	0.031977	0.033269	0.004953	0.019141	1.000000
0		0.034213	0.036807	0.037426	0.044348	0.040894	0.018879	0.049341	0.034095	0.952381
1		-0.026648	0.013063	-0.025242	-0.036887	-0.031076	0.013303	-0.043575	-0.015108	1.047619
2		0.020271	-0.011800	0.017439	0.045757	0.031626	-0.008234	0.045679	0.018696	0.952381
3		-0.022883	-0.035797	-0.024636	-0.045026	-0.034852	-0.022979	-0.042807	-0.032884	1.047619
0		-0.065214	-0.074458	-0.064925	0.019081	-0.022864	-0.067934	0.013099	-0.027510	0.975610
1		-0.013216	-0.000369	-0.012102	0.015846	0.001892	-0.001226	0.026595	0.012653	0.975610
2		0.046060	0.038510	0.045945	0.022173	0.034042	0.035929	0.030623	0.033282	0.975610
3		0.029427	0.033016	0.028257	-0.051909	-0.011882	0.030209	-0.063924	-0.016750	1.073171
0		-0.022959	-0.035343	-0.024692	-0.004319	-0.014504	-0.019740	0.001703	-0.009039	1.000000
1		0.015187	0.000740	0.011661	-0.079368	-0.033859	0.001848	-0.087381	-0.042680	1.100000
2		-0.026991	0.004503	-0.024489	-0.008145	-0.016316	-0.001641	0.003728	0.001038	1.000000
3		0.036939	0.033362	0.040393	0.110855	0.075628	0.021498	0.100764	0.061054	0.900000
0		-0.014563	0.004688	-0.011949	-0.165979	-0.086698	-0.032561	-0.172927	-0.100360	1.294118
1		0.004663	-0.025468	0.001774	-0.098457	-0.046866	-0.017811	-0.082454	-0.049034	1.176471
2		-0.009329	0.004021	-0.010291	0.019723	0.004274	0.013287	0.020664	0.016850	1.058824
3		0.049380	0.041732	0.051578	0.658209	0.345968	0.104174	0.635191	0.360663	0.470588
0		-0.016377	-0.017483	-0.015568	-0.083233	-0.049258	-0.037234	-0.087502	-0.062321	1.100000
1		-0.016756	-0.022369	-0.017527	0.088557	0.035292	-0.006283	0.096950	0.045237	0.900000
2		0.042747	0.028561	0.042804	0.010554	0.026746	0.022146	0.004446	0.013313	1.000000
3		-0.009651	0.010802	-0.009904	0.001301	-0.004325	0.024466	0.004552	0.014527	1.000000
0		0.028634	-0.014960	0.025099	-0.021852	0.001347	-0.008585	0.018132	0.004643	1.000000
1		-0.012710	0.014165	-0.011279	-0.030497	-0.021001	0.028087	0.023889	0.026008	1.000000
2		-0.025924	0.019311	-0.024935	-0.119924	-0.072989	-0.013007	-0.165687	-0.088601	1.222222
3		0.020263	-0.029323	0.021414	0.255758	0.139967	-0.004635	0.206338	0.099822	0.777778
0		-0.007080	0.009798	-0.005669	-0.061973	-0.033153	-0.006746	-0.115317	-0.059946	1.176471
1		-0.002700	0.008145	-0.002475	0.023782	0.010342	0.008338	-0.011987	-0.001621	1.058824
2		0.014823	0.034904	0.016066	0.298499	0.153932	0.082571	0.477327	0.276002	0.588235
3		0.002098	-0.034580	-0.000136	-0.108681	-0.053121	-0.042043	-0.112558	-0.076596	1.176471
0		-0.011915	-0.016863	-0.011223	-0.038552	-0.024778	-0.025518	-0.061976	-0.043699	1.073171
1		-0.005564	-0.014652	-0.003957	0.115278	0.055184	-0.000801	0.118931	0.058907	0.878049
2		0.047633	0.010237	0.045303	-0.053163	-0.003536	-0.000573	-0.063250	-0.031829	1.073171
3		-0.034282	0.020476	-0.033927	-0.002863	-0.018520	0.029422	0.030710	0.030064	0.975610
0		0.036967	0.014533	0.036911	-0.017037	0.010047	0.001881	-0.023949	-0.011027	1.025641
1		0.017606	0.002752	0.016312	0.073800	0.044939	0.022149	0.079419	0.050769	0.923077
2		0.004624	-0.003550	0.005126	-0.012746	-0.003774	-0.009270	-0.023754	-0.016508	1.025641
3		-0.057437	-0.013460	-0.056717	-0.036637	-0.046718	-0.012545	-0.023774	-0.018157	1.025641
0		0.023039	0.022818	0.024936	0.067245	0.046190	0.018454	0.080082	0.049178	0.923077
1		-0.012203	0.026356	-0.012178	-0.024139	-0.018186	0.025206	-0.017011	0.004159	1.025641
2		0.003892	-0.033520	0.002003	0.073233	0.037785	-0.018755	0.071387	0.026185	0.923077
3		-0.010941	-0.015203	-0.010970	-0.092993	-0.052173	-0.022667	-0.108465	-0.065441	1.128205
0		-0.004541	0.007648	-0.004274	0.003052	-0.000619	0.009012	0.002022	0.005520	1.000000
1		-0.038909	-0.033174	-0.036778	-0.086778	-0.061722	-0.052251	-0.089341	-0.070780	1.100000
2		0.025084	0.016658	0.023692	0.093496	0.058515	0.033721	0.104528	0.069094	0.900000
3		0.024765	0.013851	0.023407	0.008257	0.015849	0.018116	0.002178	0.010154	1.000000
0		0.044142	0.049567	0.045149	-0.034630	0.005395	0.033344	-0.064643	-0.015556	1.073171
1		-0.047198	-0.023238	-0.046089	-0.009598	-0.027906	-0.021037	0.022300	0.000591	0.975610
2		0.011078	-0.036316	0.007628	0.031982	0.019764	-0.026892	0.021371	-0.002806	0.975610
3		-0.012438	0.005030	-0.011203	0.015709	0.002207	0.011250	0.027436	0.019328	0.975610
0		-0.002005	-0.025834	-0.005683	-0.024237	-0.014964	-0.006550	-0.020471	-0.013497	1.025641
1		-0.041756	-0.046590	-0.041100	0.075726	0.017336	-0.035448	0.068981	0.016663	0.923077
2		0.020384	0.016419	0.020475	-0.025772	-0.002658	0.010859	-0.020479	-0.004779	1.025641
3		0.019201	0.051345	0.022198	-0.018144	0.002019	0.027595	-0.021132	0.003279	1.025641
0		0.009517	0.038029	0.010541	-0.021177	-0.005396	0.038786	-0.005085	0.017085	1.028571
1		-0.005198	-0.010119	-0.005362	-0.133590	-0.069792	-0.028729	-0.106102	-0.067002	1.142857
2		-0.040656	-0.035118	-0.040173	-0.107164	-0.073834	-0.050410	-0.104483	-0.077158	1.142857
3		0.062148	0.018352	0.060080	0.433021	0.247471	0.073720	0.358602	0.214639	0.685714
0		0.016451	-0.005162	0.014578	0.093685	0.053671	0.012117	0.076456	0.044054	0.930233
1		-0.022578	-0.022911	-0.020238	0.086910	0.032712	-0.013381	0.068054	0.027042	0.930233
2		-0.073291	-0.035513	-0.071599	0.019087	-0.026784	-0.022794	0.064809	0.020690	0.930233
3		0.061091	0.048912	0.059430	-0.153602	-0.045846	0.018506	-0.161015	-0.070604	1.209302
0		0.051611	0.004002	0.051221	0.039944	0.045555	-0.000758	0.059860	0.029239	0.952381
1		-0.020732	-0.060641	-0.021942	0.101425	0.040038	-0.041950	0.116782	0.036599	0.857143
2		-0.024368	0.005559	-0.023379	-0.009553	-0.016432	0.013365	0.063193	0.038023	0.952381
3		-0.006603	0.034628	-0.006226	-0.093595	-0.050121	0.019344	-0.175506	-0.077078	1.238095
0		-0.032700	-0.011099	-0.030928	0.043867	0.005851	0.004711	0.069445	0.036964	0.930233
1		0.024557	-0.024997	0.019662	-0.145249	-0.061429	-0.050426	-0.167235	-0.108625	1.209302
2		-0.046560	-0.002984	-0.042280	0.048481	0.002350	-0.007316	0.066295	0.029360	0.930233
3		0.047336	0.046579	0.047647	0.096475	0.071657	0.068159	0.081665	0.074888	0.930233
0		0.033644	0.011623	0.029993	0.006273	0.018165	0.021951	0.000329	0.011142	1.000000
1		0.019753	0.012049	0.021073	0.005452	0.013284	0.009224	0.000443	0.004834	1.000000
