Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
1		-0.052893	-0.061976	-0.052171	-0.085625	-0.068766	-0.076312	-0.086954	-0.081601	1.111111
2		0.014435	0.020907	0.014086	-0.055134	-0.020250	0.011859	-0.089156	-0.038346	1.111111
3		0.004401	0.006953	0.003969	0.165736	0.084212	0.042814	0.232133	0.136907	0.777778
0		-0.036045	-0.012282	-0.035084	-0.053242	-0.044154	-0.024376	-0.067339	-0.045848	1.073171
1		0.052026	0.021572	0.050835	0.027029	0.038944	0.029632	0.026088	0.027861	0.975610
2		0.009043	-0.024854	0.007514	0.026920	0.017208	-0.012193	0.023012	0.005402	0.975610
3		-0.021419	0.016791	-0.019758	0.004616	-0.007583	0.009374	0.024972	0.017170	0.975610
0		0.003506	0.001997	0.003678	0.000858	0.002268	-0.003497	0.000006	-0.001745	1.000000
1		0.011397	0.014024	0.014451	0.000718	0.007587	-0.002361	0.000023	-0.001169	1.000000
2		-0.007407	0.004948	-0.008405	-0.001363	-0.004885	0.014128	0.000065	0.007097	1.000000
3		-0.007496	-0.020969	-0.009723	-0.000213	-0.004970	-0.008270	-0.000094	-0.004182	1.000000
0		0.012345	-0.023579	0.010460	-0.125640	-0.056795	-0.041845	-0.141699	-0.091651	1.170732
1		0.046180	0.035168	0.046518	0.130191	0.087866	0.056000	0.129731	0.092776	0.878049
2		-0.040989	-0.003556	-0.040491	0.004524	-0.018246	-0.001027	0.026537	0.012722	0.975610
3		-0.015387	0.000200	-0.013927	0.029071	0.007321	0.000840	0.026744	0.013761	0.975610
0		0.005692	-0.031930	0.003843	0.018841	0.011364	-0.032376	0.021660	-0.005405	0.975610
1		-0.013888	-0.038121	-0.013118	0.017480	0.002227	-0.042253	0.019965	-0.011199	0.975610
2		-0.036475	-0.002166	-0.035626	-0.060498	-0.048099	-0.003348	-0.064894	-0.034066	1.073171
3		0.048319	0.072433	0.048464	0.030227	0.039318	0.078311	0.029758	0.054077	0.975610
0		0.007087	0.008289	0.009339	0.001718	0.005572	-0.007129	-0.017176	-0.012142	1.023256
1		0.025256	0.006431	0.023547	-0.083340	-0.029282	-0.010139	-0.100246	-0.055094	1.116279
2		0.030849	0.019383	0.029681	0.085965	0.057500	0.037870	0.075061	0.056425	0.930233
3		-0.068953	-0.036218	-0.068210	0.012153	-0.028490	-0.017861	0.064127	0.023044	0.930233
0		-0.031635	0.001690	-0.028962	0.012490	-0.008408	-0.003879	0.024354	0.010222	0.975610
1		-0.044943	-0.034831	-0.044117	0.005674	-0.019428	-0.024962	0.021351	-0.001830	0.975610
2		0.016619	0.031333	0.018975	0.039707	0.029255	0.024079	0.027114	0.025595	0.975610
3		0.054509	0.001643	0.049186	-0.052610	-0.001290	0.004330	-0.066199	-0.030897	1.073171
0		-0.029804	-0.032933	-0.027993	0.029841	0.000810	-0.031364	0.033682	0.000866	0.975610
1		-0.012487	-0.021331	-0.012822	0.228315	0.107271	0.010815	0.219807	0.114372	0.780488
2		0.030097	0.042195	0.029909	-0.041467	-0.005638	0.038196	-0.048290	-0.004658	1.073171
3		0.005572	0.002987	0.004459	-0.139066	-0.067021	-0.016086	-0.130340	-0.072700	1.170732
0		-0.021848	-0.029819	-0.021344	0.095659	0.036884	-0.005775	0.129174	0.061469	0.864865
1		0.021222	-0.025448	0.018419	-0.066304	-0.023744	-0.032660	-0.066811	-0.049677	1.081081
2		0.006914	0.036343	0.008487	0.029043	0.018717	0.039068	0.035695	0.037387	0.972973
3		-0.009966	0.016594	-0.008982	-0.036362	-0.022608	0.002119	-0.068654	-0.033147	1.081081
0		0.048109	0.062065	0.047461	0.066949	0.057242	0.080893	0.115407	0.098077	0.900000
1		0.050295	0.037587	0.052078	0.102639	0.077455	0.029721	0.103840	0.066624	0.900000
2		-0.031341	-0.013575	-0.032067	-0.117835	-0.075115	-0.024762	-0.159596	-0.091894	1.200000
3		-0.050954	-0.073395	-0.051105	-0.011227	-0.031090	-0.069838	-0.005807	-0.037958	1.000000
0		0.004759	0.019024	0.005726	0.010676	0.008207	0.017484	0.028011	0.022738	0.975610
1		-0.028959	-0.070426	-0.030810	-0.073044	-0.051982	-0.070007	-0.064957	-0.067486	1.073171
2		0.054793	0.024902	0.054971	0.121834	0.088490	0.042192	0.127469	0.084753	0.878049
3		-0.020198	0.032758	-0.019372	-0.036344	-0.027880	0.019591	-0.064800	-0.022528	1.073171
0		0.016442	0.042359	0.018889	0.006271	0.012581	0.029210	0.000755	0.014988	1.000000
1		0.025818	0.027050	0.025559	0.006368	0.015965	0.026920	0.000813	0.013871	1.000000
2		-0.040973	-0.038648	-0.041716	-0.012985	-0.027353	-0.026401	-0.000648	-0.013529	1.000000
3		-0.001288	-0.030761	-0.002732	0.000347	-0.001193	-0.029728	-0.000920	-0.015329	1.000000
0		-0.017033	-0.042419	-0.016986	0.000740	-0.008126	-0.044294	-0.002741	-0.023528	1.000000
1		-0.032017	0.003180	-0.031380	-0.018521	-0.024953	0.009523	0.001377	0.005452	1.000000
2		0.009958	-0.020958	0.007445	0.001596	0.004522	-0.012868	0.000324	-0.006275	1.000000
3		0.039092	0.060197	0.040920	0.016185	0.028557	0.047639	0.001039	0.024351	1.000000
0		0.044153	0.007940	0.041950	0.003779	0.022900	0.004754	0.000868	0.002812	1.000000
1		-0.028270	-0.029835	-0.027982	-0.006228	-0.017126	-0.026819	-0.001109	-0.013969	1.000000
2		-0.034620	-0.024388	-0.034036	-0.010530	-0.022305	-0.020199	-0.000465	-0.010335	1.000000
3		0.018738	0.046283	0.020068	0.012979	0.016530	0.042264	0.000706	0.021492	1.000000
0		0.029932	0.030362	0.028453	0.078152	0.053250	0.059072	0.107285	0.083158	0.900000
1		0.006846	-0.000788	0.007559	0.004742	0.006153	-0.010583	0.000855	-0.004869	1.000000
2		0.004889	-0.002955	0.005411	0.004242	0.004828	-0.010448	0.000928	-0.004765	1.000000
3		-0.035159	-0.021439	-0.035070	-0.072110	-0.053551	-0.029212	-0.089400	-0.059281	1.100000
0		-0.048318	-0.030958	-0.046538	-0.009186	-0.027951	-0.033910	-0.001570	-0.017752	1.000000
1		0.066760	0.066432	0.067234	0.024413	0.045925	0.061515	0.001501	0.031531	1.000000
2		-0.065411	-0.049049	-0.064990	-0.024736	-0.044958	-0.035621	-0.001806	-0.018726	1.000000
3		0.046969	0.013575	0.044295	0.009509	0.026984	0.008016	0.001875	0.004947	1.000000
0		0.046337	0.047492	0.045097	0.025257	0.035150	0.057561	0.033551	0.045598	0.975610
1		0.000929	-0.005843	-0.001111	-0.061935	-0.031604	-0.001506	-0.061586	-0.031440	1.073171
2		-0.022024	-0.006371	-0.020341	-0.069687	-0.045080	-0.026700	-0.060595	-0.043588	1.073171
3		-0.025703	-0.037841	-0.023889	0.132808	0.054669	-0.029482	0.112052	0.041036	0.878049
0		-0.011779	-0.031122	-0.012081	0.113048	0.050773	-0.004562	0.123041	0.058967	0.869565
1		-0.012534	0.011545	-0.009851	-0.044407	-0.027209	-0.008095	-0.030628	-0.019313	1.043478
2		0.024180	-0.008779	0.021923	0.035813	0.028900	0.008891	0.048953	0.028836	0.956522
3		0.000170	0.020711	-0.000164	-0.076272	-0.038394	0.003459	-0.107797	-0.051932	1.130435
0		-0.020128	-0.016628	-0.018015	-0.025133	-0.021574	-0.028465	-0.024037	-0.026252	1.025641
1		-0.023222	-0.029321	-0.026252	-0.025440	-0.025846	-0.005684	-0.023585	-0.014630	1.025641
2		0.033829	0.013843	0.031020	0.081899	0.056461	0.025461	0.079467	0.052449	0.923077
3		0.012903	0.033491	0.016350	-0.023137	-0.003395	0.011235	-0.023898	-0.006322	1.025641
0		0.026231	0.028839	0.029526	-0.022633	0.003473	0.006396	-0.021893	-0.007729	1.025641
1		-0.053603	-0.003840	-0.052165	-0.037582	-0.044881	-0.010381	-0.021896	-0.016131	1.025641
2		0.021647	-0.001213	0.018673	-0.016790	0.000960	0.017617	-0.022308	-0.002318	1.025641
3		0.006361	-0.026429	0.004407	0.085561	0.044942	-0.015146	0.073442	0.029087	0.923077
0		-0.018690	0.001494	-0.017551	-0.062708	-0.040290	0.007865	-0.065922	-0.028861	1.081081
1		0.048467	0.018164	0.050734	0.139972	0.095669	0.005924	0.134559	0.069950	0.864865
2		-0.012522	-0.052291	-0.015376	0.002856	-0.006195	-0.034805	0.027628	-0.003730	0.972973
3		-0.008814	0.031038	-0.009197	-0.051840	-0.030670	0.018720	-0.066590	-0.023742	1.081081
0		0.047879	0.050077	0.050186	-0.025639	0.013248	0.028523	-0.073366	-0.021935	1.100000
1		-0.024471	-0.067134	-0.028460	-0.122701	-0.074369	-0.072075	-0.149616	-0.110475	1.200000
2		-0.027727	-0.015185	-0.026981	0.040088	0.005691	-0.010700	0.018027	0.003526	1.000000
3		0.006320	0.058087	0.008470	0.193366	0.098542	0.094021	0.346021	0.218817	0.700000
0		0.008674	0.009464	0.010117	-0.068357	-0.028946	-0.006334	-0.087604	-0.046895	1.100000
1		0.022127	-0.014536	0.019692	0.008926	0.014333	-0.010349	0.002644	-0.003864	1.000000
2		0.016910	0.011487	0.017725	0.094343	0.055864	0.018017	0.100001	0.058934	0.900000
3		-0.046887	-0.006213	-0.046773	-0.018642	-0.032770	0.001102	0.003719	0.002408	1.000000
0		0.077981	0.036394	0.074888	0.049453	0.062320	0.038919	0.034034	0.036485	0.975610
1		-0.008872	-0.005080	-0.007458	-0.110797	-0.058518	-0.023578	-0.139556	-0.081354	1.170732
2		-0.064554	-0.035754	-0.063746	0.005672	-0.029446	-0.036509	0.021798	-0.007462	0.975610
3		-0.003090	0.006063	-0.002435	0.086478	0.041497	0.028760	0.124039	0.076225	0.878049
0		0.007594	0.007451	0.011782	0.026241	0.019007	-0.014088	0.022760	0.004318	0.975610
1		0.006885	0.010882	0.006544	-0.049027	-0.021225	0.004455	-0.066391	-0.030934	1.073171
2		-0.027875	-0.014416	-0.028491	0.004315	-0.012098	0.000778	0.024745	0.012750	0.975610
3		0.012707	-0.005004	0.009510	0.023374	0.016438	0.008410	0.025525	0.016959	0.975610
0		0.061546	0.065504	0.060598	0.031451	0.046007	0.080336	0.002010	0.041212	1.000000
1		-0.012276	-0.023949	-0.010527	-0.003523	-0.007021	-0.030049	-0.001056	-0.015567	1.000000
2		-0.046057	-0.007341	-0.044641	-0.025537	-0.035078	-0.015480	0.000659	-0.007418	1.000000
3		-0.003213	-0.034214	-0.005430	-0.002391	-0.003909	-0.034807	-0.001613	-0.018227	1.000000
0		0.030869	0.036659	0.031162	-0.178014	-0.072241	-0.001909	-0.179844	-0.089968	1.244444
1		-0.015067	-0.032676	-0.014896	0.043563	0.014003	-0.030227	0.031060	0.000104	0.977778
2		-0.013138	0.011235	-0.013366	0.020706	0.003477	0.031839	0.045592	0.038645	0.977778
3		-0.013546	-0.030819	-0.013932	0.198358	0.091011	0.001001	0.186071	0.092590	0.800000
0		-0.027943	-0.003968	-0.026995	0.062862	0.017640	-0.000663	0.097476	0.048314	0.900000
1		-0.023170	-0.010665	-0.022575	0.003037	-0.009853	0.000072	0.003774	0.001919	1.000000
2		0.035212	0.026607	0.034514	0.027248	0.030905	0.032033	0.004729	0.018407	1.000000
3		0.011915	-0.011246	0.011233	-0.078965	-0.033572	-0.028644	-0.087483	-0.058008	1.100000
0		-0.028413	0.009482	-0.027376	-0.043267	-0.035325	-0.000126	-0.065465	-0.032748	1.073171
1		-0.029840	0.013287	-0.027739	-0.007185	-0.017458	0.011779	0.026883	0.019320	0.975610
2		-0.020754	-0.070900	-0.022948	0.024244	0.000657	-0.056900	0.016049	-0.020479	0.975610
3		0.081849	0.047183	0.080801	0.030535	0.055659	0.045259	0.029080	0.037181	0.975610
0		0.048521	0.046832	0.049973	-0.005832	0.022567	0.044026	-0.034941	0.004853	1.052632
1		0.010260	-0.027332	0.007298	-0.015546	-0.003921	-0.026518	-0.033375	-0.029919	1.052632
2		-0.003313	0.030741	-0.003189	0.147236	0.070684	0.058894	0.289594	0.173337	0.736842
3		-0.051328	-0.037290	-0.050035	-0.074260	-0.061932	-0.053394	-0.122182	-0.087518	1.157895
0		0.010635	0.037255	0.012534	-0.048217	-0.017757	0.011964	-0.093632	-0.040648	1.111111
1		0.016359	-0.004929	0.013874	0.094246	0.053949	0.024258	0.113716	0.068829	0.888889
2		0.000550	0.032079	0.003756	0.084799	0.044165	0.034727	0.116787	0.075613	0.888889
3		-0.024162	-0.058976	-0.026638	-0.095019	-0.060734	-0.059152	-0.090771	-0.074906	1.111111
0		0.013827	0.014641	0.013990	0.012583	0.013290	0.011485	0.007286	0.009392	1.000000
1		0.007102	0.017956	0.007960	0.011157	0.009550	0.011924	0.007263	0.009601	1.000000
2		0.023169	0.009082	0.021738	-0.081705	-0.029723	0.002246	-0.085238	-0.041360	1.100000
3		-0.051573	-0.047319	-0.050957	0.073483	0.010950	-0.028755	0.088014	0.029448	0.900000
0		0.006348	-0.021011	0.004223	0.000792	0.002508	-0.016962	-0.000380	-0.008672	1.000000
1		0.020404	0.002893	0.018492	0.004211	0.011354	0.010662	0.000329	0.005496	1.000000
2		-0.016420	0.009098	-0.014788	-0.004662	-0.009727	0.018800	0.000228	0.009515	1.000000
3		-0.010332	0.009020	-0.007927	-0.000341	-0.004135	-0.012500	-0.000177	-0.006339	1.000000
0		0.022707	-0.008514	0.021599	-0.093620	-0.034619	-0.035170	-0.118110	-0.076233	1.157895
1		-0.049821	-0.047612	-0.048488	-0.002456	-0.026028	-0.049819	-0.031166	-0.040584	1.052632
2		-0.056028	-0.009926	-0.054859	0.083058	0.012434	0.030735	0.274673	0.151508	0.736842
3		0.064062	0.063925	0.063130	0.047298	0.055405	0.066992	-0.031185	0.018385	1.052632
0		-0.015622	-0.020002	-0.016059	-0.021311	-0.018684	-0.013881	-0.020340	-0.017107	1.023256
1		-0.018922	-0.011880	-0.019282	-0.021545	-0.020413	-0.012584	-0.020334	-0.016455	1.023256
2		0.048873	0.038720	0.048151	-0.021995	0.013091	0.031639	-0.020718	0.005487	1.023256
3		-0.015762	-0.007522	-0.014090	0.071336	0.028607	-0.005692	0.067530	0.030882	0.930233
0		-0.024345	0.025214	-0.023976	0.000741	-0.011710	0.038640	0.051129	0.044879	0.952381
1		0.002126	-0.020545	0.003039	-0.031005	-0.013855	-0.036590	-0.043267	-0.039925	1.047619
2		0.029150	0.029831	0.030070	-0.011697	0.009343	0.015741	-0.043707	-0.013956	1.047619
3		-0.010059	-0.035428	-0.012445	0.046232	0.016673	-0.015706	0.044542	0.014391	0.952381
0		-0.002108	-0.006779	-0.003165	0.054221	0.025378	0.014644	0.078299	0.046448	0.923077
1		-0.028613	0.007964	-0.028838	-0.017217	-0.023058	0.012880	-0.023558	-0.005326	1.025641
2		0.059281	0.024946	0.061205	-0.014763	0.023419	-0.002441	-0.023400	-0.012913	1.025641
3		-0.028771	-0.026809	-0.029519	-0.016818	-0.023202	-0.023618	-0.023511	-0.023564	1.025641
0		0.019052	0.009385	0.016783	0.030003	0.023372	0.015544	0.024946	0.020244	0.975610
1		0.014256	0.034681	0.018321	0.030381	0.024332	0.016899	0.024987	0.020942	0.975610
2		-0.007406	-0.026141	-0.007513	-0.062149	-0.034743	-0.041317	-0.067933	-0.054623	1.073171
3		-0.025161	-0.015311	-0.026839	0.007979	-0.009486	0.013006	0.024793	0.018899	0.975610
0		0.057106	0.003521	0.052755	-0.079020	-0.012221	0.001407	-0.096525	-0.047351	1.116279
1		-0.022670	0.005448	-0.020676	0.088422	0.033118	0.015428	0.161001	0.087905	0.837209
2		-0.030480	-0.010124	-0.026619	0.003593	-0.011722	-0.020673	-0.014174	-0.017438	1.023256
3		-0.013269	0.001825	-0.014015	0.010265	-0.002043	0.006516	-0.012254	-0.002829	1.023256
0		0.002244	0.008488	0.002914	-0.046073	-0.021627	-0.004861	-0.062740	-0.033725	1.073171
1		-0.011844	0.020485	-0.011665	-0.035758	-0.023735	0.004001	-0.063308	-0.029565	1.073171
2		-0.003451	-0.009369	-0.002925	0.076674	0.036952	0.020871	0.125286	0.072942	0.878049
3		0.013665	-0.023437	0.012258	0.021007	0.016641	-0.017839	0.025895	0.003971	0.975610
0		0.041773	0.040337	0.043358	-0.057967	-0.006941	0.020893	-0.085709	-0.032256	1.100000
1		-0.003112	-0.056095	-0.006607	0.014442	0.003842	-0.052609	-0.002564	-0.027658	1.000000
2		-0.016876	-0.001438	-0.016232	0.057940	0.020588	0.015137	0.099498	0.057197	0.900000
3		-0.027649	0.013019	-0.026478	-0.002824	-0.014736	0.016003	0.007295	0.011662	1.000000
0		0.028124	0.002658	0.025894	-0.009161	0.008419	0.006475	-0.019358	-0.006415	1.025641
1		0.053934	0.020252	0.053777	0.089818	0.071744	0.023231	0.079504	0.051311	0.923077
2		-0.035458	-0.015759	-0.034029	-0.074644	-0.054276	-0.030967	-0.110073	-0.070441	1.128205
3		-0.041845	-0.003944	-0.040958	0.011592	-0.014761	0.007423	0.076539	0.041911	0.923077
0		-0.011853	-0.029392	-0.013408	0.031802	0.008992	-0.013649	0.022740	0.004532	0.975610
1		0.044606	0.021145	0.045820	-0.051128	-0.002214	-0.007515	-0.066772	-0.037121	1.073171
2		-0.042786	-0.014544	-0.043223	-0.008363	-0.025951	-0.000942	0.024298	0.011669	0.975610
