Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Self inflation
98		0.003915	0.000971	0.003931	0.047079	0.025327	0.005236	0.040971	0.022823	0.273639
99		-0.000175	0.001128	0.000138	0.018484	0.009228	0.003625	0.019164	0.011342	0.319649
100		0.001500	-0.000027	0.001411	0.002160	0.001786	0.000131	0.002178	0.001154	0.261098
101		0.000610	0.001190	0.000549	0.006136	0.003321	0.002833	0.008569	0.005695	0.239626
102		0.001045	0.000159	0.001010	0.001986	0.001499	0.000218	0.001932	0.001074	0.166199
103		-0.000215	-0.000041	-0.000181	0.002484	0.001149	0.000227	0.002614	0.001419	0.256558
104		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.178709
105		0.000892	0.001830	0.001022	0.004602	0.002807	0.001990	0.004871	0.003429	0.309379
106		-0.000604	-0.000185	-0.000590	0.001221	0.000311	0.000162	0.001658	0.000909	0.131477
107		-0.001037	-0.001414	-0.000999	0.002208	0.000606	-0.001188	0.002450	0.000626	0.366386
108		0.001089	-0.000025	0.001176	0.007505	0.004360	0.001133	0.010886	0.005987	0.260121
109		0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.230109
110		-0.001056	-0.001001	-0.001067	0.000508	-0.000287	-0.000368	0.001504	0.000567	0.156254
111		-0.000217	0.000360	-0.000213	0.000907	0.000344	0.000743	0.002011	0.001377	0.116343
112		-0.001212	-0.000911	-0.001189	0.001530	0.000165	-0.000751	0.001588	0.000416	0.146532
113		0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.252526
114		0.001038	0.000572	0.001012	0.001275	0.001143	0.000826	0.001384	0.001105	0.245860
115		-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.218037
116		-0.003118	-0.004220	-0.003153	0.008785	0.002786	-0.002049	0.010275	0.004064	0.091267
117		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.091015
118		-0.001848	-0.001515	-0.001808	0.001401	-0.000214	-0.001192	0.001923	0.000361	0.269336
119		-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.201577
120		0.001829	-0.004462	0.001962	0.073781	0.037959	0.002109	0.058163	0.029387	0.288770
121		-0.001530	-0.000140	-0.001473	0.014393	0.006393	0.001825	0.019816	0.010744	0.214026
122		0.001081	-0.000291	0.001126	0.025405	0.013233	0.001779	0.022906	0.012235	0.114264
123		0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.222091
124		0.000526	-0.001540	0.000465	0.005524	0.002998	-0.000086	0.010566	0.005211	0.203631
125		0.001692	0.002241	0.001638	0.010329	0.005933	0.004366	0.012937	0.008638	0.140792
126		-0.003918	-0.002712	-0.003792	0.027568	0.011595	0.002265	0.030064	0.015987	0.254536
127		0.001186	0.000870	0.001193	0.001923	0.001558	0.001141	0.002041	0.001590	0.285522
128		0.000048	0.000057	0.000042	0.000906	0.000472	0.000081	0.001668	0.000874	0.170635
129		-0.000490	0.000368	-0.000398	0.013008	0.006244	0.002866	0.017733	0.010252	0.144585
130		0.001953	0.002127	0.001795	0.009621	0.005672	0.003824	0.011801	0.007801	0.150309
131		0.000571	0.000874	0.000640	0.001840	0.001238	0.000651	0.001995	0.001323	0.196993
132		-0.000796	-0.001503	-0.000712	0.010329	0.004822	-0.000526	0.010080	0.004747	0.310828
133		0.000160	0.000538	0.000190	0.001317	0.000753	0.000320	0.001664	0.000992	0.168845
134		-0.001278	-0.001301	-0.001256	0.007079	0.002907	-0.000381	0.007095	0.003341	0.260947
135		0.002145	0.001068	0.002121	0.011971	0.007038	0.003108	0.012320	0.007698	0.231794
136		-0.000739	-0.000280	-0.000725	0.000557	-0.000087	0.000038	0.001904	0.000970	0.170266
137		-0.000818	-0.000761	-0.000748	0.001473	0.000362	-0.000615	0.001737	0.000559	0.291687
138		0.003687	0.000523	0.003865	0.048563	0.025994	0.008409	0.057546	0.032464	0.238561
139		0.000681	-0.000063	0.000605	0.002082	0.001342	0.000366	0.001934	0.001149	0.257960
140		0.000826	0.000523	0.000798	0.001857	0.001327	0.001087	0.002036	0.001562	0.216780
141		-0.010086	-0.006359	-0.009231	0.046684	0.018192	-0.002956	0.049266	0.022439	0.158147
142		0.001668	0.000483	0.001508	0.004446	0.002972	0.001873	0.004842	0.003356	0.218311
143		0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.200780
144		0.000224	-0.000453	0.000167	0.002008	0.001088	0.000070	0.002155	0.001112	0.239972
145		0.001415	0.001431	0.001421	0.010843	0.006113	0.002678	0.014688	0.008653	0.167311
146		0.001351	-0.001967	0.001292	0.003390	0.002348	-0.000820	0.005916	0.002535	0.250699
147		0.000967	0.000093	0.000863	0.002093	0.001477	0.001030	0.002189	0.001609	0.197639
148		0.003260	-0.001468	0.002870	0.038224	0.020378	0.005811	0.042259	0.023744	0.228644
149		-0.000586	0.000141	-0.000599	0.005816	0.002587	0.001195	0.008191	0.004682	0.078754
150		-0.000217	-0.000887	-0.000281	0.008671	0.004191	0.000562	0.007790	0.004161	0.146686
151		0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.133502
152		-0.000935	-0.000145	-0.000934	0.000762	-0.000093	0.000334	0.001962	0.001147	0.215948
153		0.002312	-0.000175	0.002226	0.008714	0.005488	0.000331	0.007908	0.004105	0.199601
154		0.000635	-0.001508	0.000454	0.003585	0.002031	-0.000928	0.004399	0.001727	0.148709
155		-0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.208668
156		0.002782	0.003489	0.003036	0.054426	0.028216	0.009327	0.057847	0.033089	0.227777
157		0.000552	-0.002361	0.000535	0.003794	0.002177	-0.001683	0.004220	0.001257	0.300728
158		0.005374	0.003621	0.005372	0.014691	0.010051	0.005169	0.017436	0.011274	0.259683
159		0.001723	0.000913	0.001744	0.007846	0.004798	0.001525	0.007852	0.004678	0.164548
160		0.001993	0.001118	0.001991	0.003446	0.002718	0.001607	0.004841	0.003222	0.231154
161		-0.003367	-0.003329	-0.003434	0.004003	0.000240	-0.001507	0.005703	0.002082	0.184420
162		-0.000610	-0.000456	-0.000573	0.008814	0.004125	0.000548	0.010107	0.005303	0.191376
163		-0.007411	-0.002900	-0.007048	0.017518	0.004893	0.000757	0.028324	0.014358	0.161111
164		-0.000493	-0.000010	-0.000500	0.001591	0.000536	0.000724	0.002676	0.001699	0.185850
165		0.002531	0.001683	0.002507	0.008355	0.005427	0.002999	0.012517	0.007740	0.148967
166		0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.241875
167		-0.000376	-0.000702	-0.000371	0.001882	0.000758	-0.000456	0.001785	0.000663	0.105903
168		0.000209	-0.000696	0.000181	0.004257	0.002218	0.000664	0.005449	0.003051	0.199204
169		-0.000529	0.000076	-0.000414	0.010319	0.004949	0.000553	0.010740	0.005623	0.214404
170		0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.314886
171		-0.001622	-0.001046	-0.001458	0.004699	0.001619	-0.001203	0.004317	0.001548	0.221801
172		-0.001064	-0.001378	-0.001061	0.002003	0.000461	-0.000990	0.004355	0.001673	0.061626
173		0.001145	-0.001784	0.000976	0.011335	0.006204	0.000285	0.016940	0.008545	0.174179
174		-0.000423	0.000182	-0.000422	0.006003	0.002780	0.000966	0.006432	0.003689	0.281064
175		-0.000200	0.000170	-0.000181	0.001337	0.000581	0.000483	0.001635	0.001059	0.066345
176		-0.000702	0.001691	-0.000623	0.007581	0.003428	0.002553	0.012026	0.007270	0.124023
177		0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.266069
178		-0.000142	-0.000419	-0.000117	0.001765	0.000824	-0.000326	0.002596	0.001133	0.029609
179		0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.234991
180		0.001796	-0.000436	0.001784	0.008351	0.005096	0.000041	0.007793	0.003900	0.213894
181		-0.000132	0.000024	-0.000133	0.001751	0.000804	0.000569	0.002186	0.001377	0.088349
182		-0.005499	-0.003960	-0.004988	0.023716	0.009168	-0.000611	0.022921	0.011009	0.242477
183		0.000174	0.000920	0.000203	0.001486	0.000841	0.000832	0.001693	0.001262	0.141734
184		0.001444	0.002496	0.001494	0.015747	0.008525	0.006265	0.018836	0.012523	0.306326
185		0.001503	0.002749	0.001660	0.016598	0.009046	0.005425	0.024526	0.014902	0.199787
186		0.000482	-0.000018	0.000447	0.002951	0.001693	0.000708	0.004564	0.002632	0.174976
187		0.001238	0.000568	0.001247	0.002048	0.001648	0.000242	0.002160	0.001200	0.238485
188		-0.000736	-0.000825	-0.000706	0.001298	0.000297	-0.000755	0.001598	0.000419	0.265924
189		0.000544	0.000816	0.000718	0.004756	0.002737	0.000491	0.004704	0.002593	0.313172
190		0.007538	0.006243	0.007778	0.103374	0.054169	0.016772	0.100118	0.057030	0.184877
191		-0.000009	-0.000122	-0.000049	0.004295	0.002114	0.000774	0.004611	0.002689	0.208586
192		0.002566	-0.002702	0.002575	0.020871	0.011831	0.000465	0.020668	0.010468	0.208094
193		0.001785	0.004567	0.001946	0.037907	0.019500	0.010530	0.059366	0.034460	0.069501
194		-0.001032	-0.000201	-0.000951	0.005175	0.002087	0.000632	0.006104	0.003361	0.235562
195		0.000440	0.000069	0.000408	0.001845	0.001123	0.000554	0.001985	0.001269	0.257176
196		0.000947	0.000113	0.000948	0.005837	0.003404	0.000559	0.006498	0.003520	0.137774
197		0.001600	0.001246	0.001512	0.004507	0.003006	0.002149	0.004847	0.003497	0.225141
198		-0.001104	-0.001239	-0.001129	0.000866	-0.000135	-0.000834	0.001616	0.000389	0.154133
199		-0.001044	-0.001165	-0.001027	0.001893	0.000433	-0.000886	0.001725	0.000417	0.233738
200		0.006453	0.002786	0.006272	0.042773	0.024612	0.008342	0.035733	0.021891	0.104236
201		-0.004582	-0.003668	-0.004457	0.011520	0.003438	-0.001388	0.012076	0.005295	0.225922
202		-0.000023	-0.004113	-0.000082	0.009555	0.004760	-0.002500	0.016082	0.006696	0.199157
203		-0.001842	0.001875	-0.001475	0.010894	0.004607	0.003782	0.012543	0.008147	0.199844
204		0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.252740
205		0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.220128
206		-0.001290	-0.000779	-0.001185	0.004797	0.001784	-0.000467	0.004482	0.002001	0.183217
